,index,label
7169,B25016_018E,Estimate!!Total:!!Renter occupied:!!Lacking complete plumbing facilities:!!1.01 to 1.50 occupants per room
7171,B25016_019E,Estimate!!Total:!!Renter occupied:!!Lacking complete plumbing facilities:!!1.51 or more occupants per room
16726,B25017_001E,Estimate!!Total:
16721,B25017_002E,Estimate!!Total:!!1 room
16713,B25017_003E,Estimate!!Total:!!2 rooms
16714,B25017_004E,Estimate!!Total:!!3 rooms
16710,B25017_005E,Estimate!!Total:!!4 rooms
16771,B25017_006E,Estimate!!Total:!!5 rooms
16767,B25017_007E,Estimate!!Total:!!6 rooms
16762,B25017_008E,Estimate!!Total:!!7 rooms
16757,B25017_009E,Estimate!!Total:!!8 rooms
16838,B25017_010E,Estimate!!Total:!!9 or more rooms
23120,B25018_001E,Estimate!!Median number of rooms
4427,B25019_001E,Estimate!!Aggregate number of rooms
27678,B25020_001E,Estimate!!Total:
27675,B25020_002E,Estimate!!Total:!!Owner occupied:
27672,B25020_003E,Estimate!!Total:!!Owner occupied:!!1 room
27667,B25020_004E,Estimate!!Total:!!Owner occupied:!!2 rooms
27664,B25020_005E,Estimate!!Total:!!Owner occupied:!!3 rooms
27656,B25020_006E,Estimate!!Total:!!Owner occupied:!!4 rooms
27649,B25020_007E,Estimate!!Total:!!Owner occupied:!!5 rooms
27642,B25020_008E,Estimate!!Total:!!Owner occupied:!!6 rooms
27634,B25020_009E,Estimate!!Total:!!Owner occupied:!!7 rooms
27844,B25020_010E,Estimate!!Total:!!Owner occupied:!!8 rooms
27840,B25020_011E,Estimate!!Total:!!Owner occupied:!!9 or more rooms
27835,B25020_012E,Estimate!!Total:!!Renter occupied:
27831,B25020_013E,Estimate!!Total:!!Renter occupied:!!1 room
27825,B25020_014E,Estimate!!Total:!!Renter occupied:!!2 rooms
27813,B25020_015E,Estimate!!Total:!!Renter occupied:!!3 rooms
27807,B25020_016E,Estimate!!Total:!!Renter occupied:!!4 rooms
27802,B25020_017E,Estimate!!Total:!!Renter occupied:!!5 rooms
27797,B25020_018E,Estimate!!Total:!!Renter occupied:!!6 rooms
27783,B25020_019E,Estimate!!Total:!!Renter occupied:!!7 rooms
27849,B25020_020E,Estimate!!Total:!!Renter occupied:!!8 rooms
27845,B25020_021E,Estimate!!Total:!!Renter occupied:!!9 or more rooms
21447,B25021_001E,Estimate!!Median number of rooms --!!Total:
21450,B25021_002E,Estimate!!Median number of rooms --!!Total:!!Owner occupied
21452,B25021_003E,Estimate!!Median number of rooms --!!Total:!!Renter occupied
2234,B25022_001E,Estimate!!Aggregate number of rooms:
2227,B25022_002E,Estimate!!Aggregate number of rooms:!!Owner occupied
2230,B25022_003E,Estimate!!Aggregate number of rooms:!!Renter occupied
17707,B25024_001E,Estimate!!Total:
17735,B25024_002E,"Estimate!!Total:!!1, detached"
17731,B25024_003E,"Estimate!!Total:!!1, attached"
17741,B25024_004E,Estimate!!Total:!!2
17738,B25024_005E,Estimate!!Total:!!3 or 4
17722,B25024_006E,Estimate!!Total:!!5 to 9
17719,B25024_007E,Estimate!!Total:!!10 to 19
17718,B25024_008E,Estimate!!Total:!!20 to 49
17726,B25024_009E,Estimate!!Total:!!50 or more
17831,B25024_010E,Estimate!!Total:!!Mobile home
17825,B25024_011E,"Estimate!!Total:!!Boat, RV, van, etc."
5522,B25026_001E,Estimate!!Total population in occupied housing units:
5532,B25026_002E,Estimate!!Total population in occupied housing units:!!Owner occupied:
5528,B25026_003E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2019 or later
5538,B25026_004E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2015 to 2018
5535,B25026_005E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2010 to 2014
5537,B25026_006E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 2000 to 2009
5543,B25026_007E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1990 to 1999
5541,B25026_008E,Estimate!!Total population in occupied housing units:!!Owner occupied:!!Moved in 1989 or earlier
5548,B25026_009E,Estimate!!Total population in occupied housing units:!!Renter occupied:
5613,B25026_010E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2019 or later
5609,B25026_011E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2015 to 2018
5427,B25026_012E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2010 to 2014
5421,B25026_013E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 2000 to 2009
5439,B25026_014E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1990 to 1999
5430,B25026_015E,Estimate!!Total population in occupied housing units:!!Renter occupied:!!Moved in 1989 or earlier
358,B25027_001E,Estimate!!Total:
365,B25027_002E,Estimate!!Total:!!Housing units with a mortgage:
343,B25027_003E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 15 to 34 years
350,B25027_004E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 35 to 44 years
349,B25027_005E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 45 to 54 years
336,B25027_006E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 55 to 59 years
339,B25027_007E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 60 to 64 years
330,B25027_008E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 65 to 74 years
334,B25027_009E,Estimate!!Total:!!Housing units with a mortgage:!!Householder 75 years and over
225,B25027_010E,Estimate!!Total:!!Housing units without a mortgage:
210,B25027_011E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 15 to 34 years
217,B25027_012E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 35 to 44 years
197,B25027_013E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 45 to 54 years
204,B25027_014E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 55 to 59 years
187,B25027_015E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 60 to 64 years
185,B25027_016E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 65 to 74 years
190,B25027_017E,Estimate!!Total:!!Housing units without a mortgage:!!Householder 75 years and over
14765,B25031_001E,Estimate!!Median gross rent --!!Total:
14759,B25031_002E,Estimate!!Median gross rent --!!Total:!!No bedroom
14795,B25031_003E,Estimate!!Median gross rent --!!Total:!!1 bedroom
14789,B25031_004E,Estimate!!Median gross rent --!!Total:!!2 bedrooms
14782,B25031_005E,Estimate!!Median gross rent --!!Total:!!3 bedrooms
