,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,NAMELSAD,LSAD,ALAND,AWATER,geometry
295,47,037,017702,1,1500000US470370177021,470370177021,1,Block Group 1,BG,1209100,0,"POLYGON ((-86.81388099999999 36.105896, -86.81213099999999 36.108723, -86.80740299999999 36.107512, -86.80403800000001 36.107838, -86.800763 36.107355, -86.80083399999999 36.106605, -86.80162900000001 36.103385, -86.802075 36.101528, -86.802116 36.101312, -86.800439 36.101146, -86.801176 36.096936, -86.801243 36.094645, -86.806224 36.094094, -86.807952 36.09501, -86.809631 36.097205, -86.80970000000001 36.098107, -86.8095 36.098913, -86.808767 36.104342, -86.814601 36.1048, -86.81388099999999 36.105896))"
299,47,037,015628,3,1500000US470370156283,470370156283,3,Block Group 3,BG,347440,0,"POLYGON ((-86.652799 36.054782, -86.652337 36.055292, -86.64951600000001 36.0568, -86.646119 36.057877, -86.645882 36.054126, -86.647814 36.054436, -86.64856899999999 36.052458, -86.646911 36.050738, -86.649502 36.049981, -86.653192 36.052241, -86.652799 36.054782))"
401,47,037,015625,3,1500000US470370156253,470370156253,3,Block Group 3,BG,6158273,0,"POLYGON ((-86.657543 36.119373, -86.65558299999999 36.122071, -86.65294 36.128849, -86.653779 36.131306, -86.65600000000001 36.133066, -86.657571 36.135655, -86.657381 36.136369, -86.658041 36.141076, -86.65400200000001 36.141714, -86.650441 36.142941, -86.64134900000001 36.14191, -86.64061100000001 36.141914, -86.64123499999999 36.137219, -86.637511 36.132578, -86.635074 36.133048, -86.62926400000001 36.132711, -86.62907 36.131636, -86.631444 36.114923, -86.630286 36.112073, -86.63628799999999 36.112741, -86.643986 36.113339, -86.65012 36.11569, -86.653767 36.117903, -86.659003 36.118366, -86.657543 36.119373))"
402,47,037,015636,2,1500000US470370156362,470370156362,2,Block Group 2,BG,599025,0,"POLYGON ((-86.64409999999999 36.08076, -86.641346 36.081662, -86.638099 36.082147, -86.636014 36.081903, -86.63260099999999 36.079395, -86.634619 36.077566, -86.63512799999999 36.074716, -86.636183 36.071874, -86.638648 36.074482, -86.640075 36.075997, -86.64146100000001 36.077141, -86.644599 36.079495, -86.64409999999999 36.08076))"
403,47,037,018205,3,1500000US470370182053,470370182053,3,Block Group 3,BG,1447264,0,"POLYGON ((-86.924769 36.09869, -86.92237900000001 36.102434, -86.92204700000001 36.103407, -86.922523 36.109837, -86.92264299999999 36.111294, -86.914147 36.117759, -86.913962 36.117936, -86.91261299999999 36.116651, -86.914691 36.114216, -86.91280500000001 36.113315, -86.915294 36.109872, -86.91744199999999 36.098434, -86.919977 36.093915, -86.922549 36.092106, -86.92341999999999 36.093205, -86.924875 36.097425, -86.924769 36.09869))"
404,47,037,018204,2,1500000US470370182042,470370182042,2,Block Group 2,BG,1250139,0,"POLYGON ((-86.92171500000001 36.091434, -86.919184 36.092407, -86.912826 36.091543, -86.91236000000001 36.093024, -86.910974 36.093139, -86.90681600000001 36.090454, -86.90949999999999 36.088229, -86.913138 36.081878, -86.915296 36.080337, -86.91538799999999 36.078364, -86.919359 36.077393, -86.919973 36.077666, -86.918931 36.079729, -86.920626 36.084329, -86.921018 36.090543, -86.92171500000001 36.091434))"
405,47,037,015622,3,1500000US470370156223,470370156223,3,Block Group 3,BG,1109478,0,"POLYGON ((-86.594973 36.182711, -86.59146800000001 36.182089, -86.58980699999999 36.18105, -86.587591 36.18162, -86.582356 36.178969, -86.582635 36.176516, -86.582915 36.173493, -86.584881 36.172825, -86.5887 36.171578, -86.59511500000001 36.172484, -86.59452400000001 36.175794, -86.595287 36.179832, -86.594973 36.182711))"
406,47,037,013600,1,1500000US470370136001,470370136001,1,Block Group 1,BG,778231,0,"POLYGON ((-86.82426100000001 36.180955, -86.82336599999999 36.180465, -86.814091 36.17053, -86.812763 36.169124, -86.816067 36.167338, -86.81967299999999 36.163232, -86.819901 36.164248, -86.822346 36.173497, -86.82456000000001 36.176642, -86.82426100000001 36.180955))"
407,47,037,017402,2,1500000US470370174022,470370174022,2,Block Group 2,BG,884019,0,"POLYGON ((-86.739442 36.099637, -86.73751300000001 36.09944, -86.737196 36.101517, -86.735058 36.101197, -86.724372 36.100904, -86.72178599999999 36.101267, -86.72058699999999 36.098819, -86.720437 36.098368, -86.72090300000001 36.097104, -86.722685 36.095997, -86.726572 36.096813, -86.728887 36.095115, -86.737453 36.095768, -86.737669 36.096152, -86.739442 36.099637))"
408,47,037,010404,2,1500000US470370104042,470370104042,2,Block Group 2,BG,408812,0,"POLYGON ((-86.702746 36.273085, -86.689589 36.272135, -86.689915 36.269373, -86.69496100000001 36.269016, -86.70024100000001 36.269475, -86.70092 36.270591, -86.703114 36.270436, -86.702746 36.273085))"
